page	slot	value
Header	announcement	Delivers Worldwide · Free Shipping over $250
/	s-001.meta.title	Modern Womenswear by SHER
/	s-001.meta.description	SHER makes modern womenswear that reads elegant, never cheap. Corset tops, matching sets, cocktail dresses, and beachwear, sensual and made to be seen.
/	s-001.2.eyebrow	Refined Sensuality
/	s-001.2.heading	Modern Womenswear by SHER
/	s-001.2.subtitle	Every SHER piece is made by hand, down to the boning set one at a time. Sensual, refined, and never cheap.
/	s-001.4.heading	Featured Products
/	featured-1	silver-clara-set
/	featured-2	quartz-vivian-maxi-dress
/	s-001.5.heading	Made to Be Seen
/	s-001.5.subtitle	The right piece turns heads before you say a word. Find yours and own the room.
/shop	s-002.meta.title	Shop Modern Womenswear by SHER
/shop	s-002.meta.description	Shop modern womenswear by SHER: corset tops, matching sets, cocktail dresses, and beachwear. Sensual, refined, and all made to be seen.
/shop	s-002.1.heading	Shop Modern Womenswear
/shop	s-002.1.subtitle	Every SHER piece in one place. Corset tops with structure you can feel. Matching sets that land as one look. Cocktail dresses in satin that catches the light. Beachwear lined to hold its shape wet or dry. Four categories, one standard.
/shop	s-002.3.eyebrow	About our Product
/shop	s-002.3.heading	More about our Corset Tops
/shop	s-002.3.paragraph	We build every corset top by hand. Each bone is set one at a time on a mannequin, not laid flat by a machine, so the shape holds to the body. Inside, a satin lining and structured bust cups keep the fit clean and comfortable. The result is a top that reads elegant, never cheap.
/shop	s-002.4.eyebrow	About our Product
/shop	s-002.4.heading	More about our Matching Sets
/shop	s-002.4.paragraph	A matching set does the styling for you. We pair a hand-built corset top with a skirt or trousers cut to match, so the whole look lands as one. The Skirt Set softens the line; the Trouser Set sharpens it. Either way, you walk in ready to be seen.
/shop	s-002.5.eyebrow	About our Product
/shop	s-002.5.heading	More about our Cocktail Dresses
/shop	s-002.5.paragraph	Our cocktail dresses are made for the moments people look. We cut them in satin and soft slip shapes that skim the body and catch the light. Choose the length that fits the night: Mini, Midi, or Maxi. Each one is built to hold a room.
/shop	s-002.6.eyebrow	About our Product
/shop	s-002.6.heading	More about our Beachwear
/shop	s-002.6.paragraph	Our beachwear is lined front and back, so it stays opaque wet or dry. The bust cups hold their shape after washing, and every seam is sewn flat so nothing digs in. Choose a One Piece for one long line, or a Bikini sold as a set. Both are cut to hold you, not just cover you.
/corset-tops	s-003.meta.title	Corset Tops: Built by Hand for the Modern Woman
/corset-tops	s-003.meta.description	Corset tops by SHER, built on real corsetry with each bone set by hand. Choose Lace Closure for an adjustable fit or Zip Closure for effortless wear.
/corset-tops	s-003.1.heading	Shop Corset Tops
/corset-tops	s-003.1.subtitle	Shop corset tops built on real corsetry, in two closures. Pick Lace Closure for an adjustable fit, or Zip Closure for the easiest way in and out.
/corset-tops	s-003.3.eyebrow	What is a Corset Top?
/corset-tops	s-003.3.heading	Structured Boning That Commands the Silhouette
/corset-tops	s-003.3.paragraph	A corset top is a fitted top built on corsetry. Thin bones run through the fabric to shape the waist and support the bust. Unlike a plain top, it holds its structure and stays put as you move. The look is firm but not stiff. SHER makes each corset top to be worn on its own, as the piece people notice first.
/corset-tops	s-003.4.eyebrow	Pick your Corset Closure Type
/corset-tops	s-003.4.heading	Each Corset Closure Designed for a Different Priority
/corset-tops	s-003.4.paragraph	The Lace Closure laces up the back through metal eyelets. Pull the cord tighter or looser to set the fit yourself. Pick this one if you want control over how firm it feels. The Zip Closure uses a separating zip. Step in, zip up, and you are done. The fit is fixed, so there is nothing to adjust. Pick this one if you want the fastest way in and out with the same clean shape.
/corset-tops	s-003.5.eyebrow	Quality from Inside Out
/corset-tops	s-003.5.heading	Each Bone Set by Hand, Not by Machine
