version	id	title	url	purpose	outline	functionality	type	seo_role	seo_parent	seo_keyword
In Progress (v3)	C-Transparent	Transparent Header		Non-sticky header over the Home hero	Announcement Bar ["Delivers Worldwide · Free Shipping over $250"] // Hamburger Icon <opens C-Menu> | White Square Logo <to /, oversized — overflows below the header> | Cart Icon <opens C-Cart>	Home only; transparent and non-sticky; scrolls away with the page				
In Progress (v3)	C-Sticky	Sticky Header		Solid sticky header on every screen	Announcement Bar ["Delivers Worldwide · Free Shipping over $250"] // Hamburger Icon <opens C-Menu> | Dark Symbol Logo <to /> | Cart Icon <opens C-Cart>	Sticky on every screen; on Home takes over once the hero scrolls out of view				
In Progress (v3)	C-Menu	Menu Drawer		Site menu from the hamburger	Dark Symbol Logo <to /> // "Shop Now" / "Link: Corset Tops" <to /corset-tops> / "Link: Matching Sets" <to /matching-sets> / "Link: Cocktail Dress" <to /cocktail-dresses> / "Link: Shop All" <to /shop> // "Link: Our Story" <to /about> / "Link: Contact Us" <to /contact> / Account "Link: Login/Account" <to Shopify account>					
In Progress (v3)	C-Cart	Cart Drawer		Cart drawer from the header icon	"Your Cart" // Line Items <image, name, options, qty stepper, price, remove> // Subtotal // "Btn: Checkout" / "Checkout securely in USD, powered by Shopify"	Changing an item's quantity or removing it updates the cart and subtotal; checkout opens Shopify's hosted checkout and settles through a third-party gateway set up in Shopify; shows an empty state when the cart is empty				
In Progress (v3)	C-Footer	Footer		Site footer	Logo <to /> // (("Shop & Learn" / "Link: Corset Tops" <to /corset-tops> / "Link: Matching Sets" <to /matching-sets> / "Link: Cocktail Dress" <to /cocktail-dresses> / "Link: Shop All" <to /shop>) | ("More Info" / "Link: Our Story" <to /about> / "Link: Contact Us" <to /contact> / "Link: Shipping & Returns" <to /shipping-returns>) | ("Connect with Us" / (Instagram Icon <to Instagram> + Facebook Icon <to Facebook> + TikTok Icon <to TikTok>))) // ("© SHER {year}" | ("Link: Privacy Policy" <to /privacy-policy> + "Link: Terms of Service" <to /terms-of-service>))					
In Progress (v3)	S-001	Home	/	Brand entry point	Hero Carousel <featured banners with text overlay> // "Eyebrow: Refined Sensuality" / "H1: Modern Womenswear by SHER" / Subtitle <what SHER makes and what sets it apart> // (Image Link <to /corset-tops> ["H2: Shop Corset Tops"] | Image Link <to /matching-sets> ["H2: Shop Matching Sets"]) / (Image Link <to /cocktail-dresses> ["H2: Shop Cocktail Dresses"] | Image Link <to /shop> ["H2: Shop All Products"]) // "H2: Featured Products" / (Image Link <to product> [Title <product name>] | Image Link <to product> [Title <product name>]) // "H2: Made to Be Seen" / Subtitle <closing line into the shop-all button> / Btn <to /shop>	Sliding hero carousel | hero banners, category images, and product images come from D-xxx Home content in the repo (slot placement + image + alt text + overlay text + link)	Home	Pillar		SHER
In Progress (v3)	S-002	All Products	/shop	Product listing hub	Breadcrumb <Home › Shop> / "H1: Shop Modern Womenswear" / Subtitle <the full range in one place, across the three categories> / Button Pills <links to /corset-tops, /matching-sets & /cocktail-dresses> // View Toggle <grid columns> / Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("Eyebrow: About our Product" / "H2: More about our Corset Tops" / Paragraph <corset tops made by hand> / Btn <to /corset-tops>) // ("Eyebrow: About our Product" / "H2: More about our Matching Sets" / Paragraph <matching sets, made to be seen> / Btn <to /matching-sets>) | Image // Image | ("Eyebrow: About our Product" / "H2: More about our Cocktail Dresses" / Paragraph <cocktail dresses, made to be seen> / Btn <to /cocktail-dresses>)	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop) | View toggle sticks to the bottom-left once it scrolls out of view | Grid thumbnail per product from the D-xxx product data in the repo (which image to show); falls back to the product's first image | Grid thumbnail swaps to the next image while hovered (desktop) or while a finger is held down (tablet and mobile), and goes back on release; a product with no next image does not swap | The grid renders every product in the collection; Load More reveals the next 12; keeps any active filter and column choice; a divider sits under the grid when nothing is left	Collection	Cluster	/	
In Progress (v3)	S-003	Corset Tops	/corset-tops	Corset commerce category, and the corset head term	Breadcrumb <Shop › Corset Tops> / "H1: Shop Corset Tops" / Subtitle <the corset tops range and the two closures> / Button Pills <filter by closure type> // View Toggle <grid columns> / Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("Eyebrow: What is a Corset Top?" / "H2: Structured Boning That Commands the Silhouette" / Paragraph <what defines a corset top>) // ("Eyebrow: Pick your Corset Closure Type" / "H2: Each Corset Closure Designed for a Different Priority" / Paragraph <lace closure: adjustable fit; zip closure: effortless>) | Image // Image | ("Eyebrow: Quality from Inside Out" / "H2: Each Bone Set by Hand, Not by Machine" / Paragraph <hand-set boning, satin lining, structured bust cups, lace placed by hand>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a corset top?" / Paragraph <bust, waist, hip, length; bust matters most; match to the size chart> / "H3: How should a corset top fit?" / Paragraph <firm but never painful, no gap at top edge or waist> / "H3: What if I am between sizes?" / Paragraph <size up, since it can be taken in but not let out; lace can cinch further> / "H3: How do I care for my corset top?" / Paragraph <hand wash or dry clean; defer to the care label> / "H3: How do I style a corset top?" / Paragraph <wear it as the centerpiece with simple pieces> / "H3: Should I choose a Lace or Zip Closure?" / Paragraph <pick by preference, since the fit is the same; lace adjusts and forgives, zip is fixed but easy to wear>]	In-place Type Attribute filter (closure type) | (same View toggle and Product Grid as /shop) | Accordion: one item open at a time	Collection	Pillar		corset tops (secondary: corset top, shop corset tops, lace corset top, lace up corset top, zip up corset top, satin corset top)
In Progress (v3)	S-004	Matching Sets	/matching-sets	Matching sets commerce category, and the matching sets head terms	Breadcrumb <Shop › Matching Sets> / "H1: Shop Matching Sets" / Subtitle <the matching sets range and the two set types> / Button Pills <filter by set type> // View Toggle <grid columns> / Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("Eyebrow: What is a Matching Set?" / "H2: One Look, Two Pieces That Belong Together" / Paragraph <what defines a matching set — also called a co-ord or two-piece set>) // ("Eyebrow: Pick your Matching Set Type" / "H2: Each Set Built for a Different Look" / Paragraph <skirt set: soft feminine line; trouser set: sharper, bolder line>) | Image // Image | ("Eyebrow: Quality from Inside Out" / "H2: Cut to Sit Right Together" / Paragraph <how SHER makes its sets, and the fabrics and craft>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a matching set?" / Paragraph <bust, waist, hip, length of each piece; waist matters most; match to the size chart> / "H3: How should a matching set fit?" / Paragraph <top feels firm; bottom sits at the natural waist, which can vary by style; the hems should meet> / "H3: What if I am between sizes?" / Paragraph <size up the top, since it can be taken in but not let out> / "H3: How do I care for my matching set?" / Paragraph <hand wash, machine wash, or dry clean by fabric; wash both pieces together so they fade evenly; defer to the care label> / "H3: How do I style a matching set?" / Paragraph <wear both pieces together as one look; keep accessories minimal> / "H3: Can I buy the top and bottom on their own?" / Paragraph <sold only as a pair; designed to be worn together>]	(same as /corset-tops, but the filter is set type)	Collection	Pillar		matching sets (secondary: matching set, shop matching sets, co-ords, two piece set, matching top and trousers set, matching skirt and top set)
In Progress (v3)	S-005	Cocktail Dresses	/cocktail-dresses	Cocktail dresses commerce category, and the cocktail dress head term	Breadcrumb <Shop › Cocktail Dresses> / "H1: Shop Cocktail Dresses" / Subtitle <the cocktail dresses range and the three lengths> / Button Pills <filter by length> // View Toggle <grid columns> / Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("Eyebrow: What is a Cocktail Dress?" / "H2: The Dress You Wear to Be Remembered" / Paragraph <what defines a cocktail dress>) // ("Eyebrow: Pick your Length" / "H2: Each Length Built for a Different Moment" / Paragraph <mini, midi, and maxi lengths and the moment each suits>) | Image // Image | ("Eyebrow: Quality from Inside Out" / "H2: Sensual Without Looking Cheap" / Paragraph <how SHER makes its dresses, and the fabrics and craft>) // "H2: Frequently Asked Questions" | Accordion ["H3: How do I measure for a cocktail dress?" / Paragraph <take bust, waist, hip, length; size on the largest number> / "H3: How should a cocktail dress fit?" / Paragraph <skim the body, not grip; no horizontal creases> / "H3: What if I am between sizes?" / Paragraph <size up, then take in the waist> / "H3: How do I care for my cocktail dress?" / Paragraph <hand wash or dry clean; never wring satin; defer to the care label> / "H3: How do I style a cocktail dress?" / Paragraph <dress leads with a strong accessory; match the shoe to the hem> / "H3: What do I wear a cocktail dress to?" / Paragraph <dressy events below black tie; cocktail attire means this dress>]	(same as /corset-tops, but the filter is length)	Collection	Pillar		cocktail dresses (secondary: cocktail dress, shop cocktail dresses, cocktail party dress, elegant cocktail dress, midi cocktail dress, mini cocktail dress)
In Progress (v3)	S-006	Product Detail	/products/[product-slug]	Individual product page	Media Gallery <thumbnail strip + main image; fixed order: video then images> | (Breadcrumb <Shop › {Category} (to /{category}) › product> / Title <product name> / Price / Size Selector <available sizes> / (Quantity Selector + "Btn: Add to Cart" + "Btn: Buy Now") / (Paragraph <product description> + Type Attribute <closure type for corsets, set type for matching sets, length for cocktail dresses>) / ("Link: View Size Chart" <opens C-Sizing> + "Link: Shipping & Returns" <opens C-Shipping>)) // ("H2: You May Also Like" / Subtitle <see the full category> / "Btn: Back to {Category}" <to /{category}>) | Product Grid <2 random products>	Media gallery — a thumbnail sets the main image; the video is the first thumbnail, shown with a play icon | On load the main viewer shows the first image while the video loads; once loaded the main viewer switches to the video and autoplays it muted, looped, and inline | Respects prefers-reduced-motion: no auto-switch or autoplay | Breadcrumb truncates the product name with an ellipsis on small screens; full name stays in the markup | Add to Cart opens C-Cart | Buy Now goes to Shopify checkout | Out-of-stock sizes disabled; when all are sold out, the buy buttons swap to a Preorder link (to /contact) | The Type Attribute (closure type, set type, or length) is a Shopify product metafield exposed to the Storefront API	Product	Cluster	/{category}	
In Progress (v3)	C-Sizing	Size Chart Drawer		Size chart on the product page	"Size Chart" / Title <product name> / Paragraph <measurements-based; varies by style; each piece can be tailored; contact SHER if unsure> / Measurements <in cm> / Measurements <in inches>	Renders only the measurements a product defines; one it omits (e.g., no Hip on a corset top) is left out of the table. Inches table auto-calculated from the cm measurements; cm measurements come from the product data in the repo				
In Progress (v3)	C-Shipping	Shipping & Returns Drawer		Shipping & returns on the product page	(same as /shipping-returns)					
In Progress (v3)	S-007	About Us	/about	Brand introduction	Breadcrumb <Home › About Us> / "H1: Our SHER Brand" / Paragraph <SHER's mission: sensuality that elevates, handcrafted piece by piece> // Image | ("Eyebrow: Our Philosophy" / "H2: Sensuality That Elevates" / Paragraph <how SHER frames sensuality as elevating>) // ("Eyebrow: Meet the Founder" / "H2: The Woman Behind It, Sherilyn" / Paragraph <the founder's story>) | Image		Information	Cluster	/	SHER brand
In Progress (v3)	S-008	Contact	/contact	Customer contact	Breadcrumb <Home › Contact> / "H1: Contact Us" / Subtitle <how to reach SHER for orders, press, or support> // "H2: Direct Message - For the fastest response" / Social Messaging Links <IG, FB, TikTok> // "H2: Email - For business inquiries" / Email Contact // "H2: Warehouse Address - For product returns" / Address Text		Utility	Supporting		
In Progress (v3)	S-009	Shipping & Returns	/shipping-returns	Shipping and returns policy	Breadcrumb <Home › Shipping & Returns> / "H1: Shipping & Returns" / Subtitle <shipping timelines, customs, and how to return an order> // "H2: Where Do You Ship?" / Paragraph <ships worldwide from the Thailand warehouse> // "H2: When Will I Receive My Order?" / Paragraph <2-3 business days processing, then a shipping-confirmation email; Standard 7-14 days, Express 3-5 days> // "H2: About Customs & Duties" / Paragraph <import duties may apply per local customs; refusing customs and rejecting the package forfeits the refund> // "H2: Returns & Exchanges" / Paragraph <email the returns address with the order number, then mail the item back>		Utility	Supporting		
In Progress (v3)	S-010	Privacy Policy	/privacy-policy	Privacy policy	Breadcrumb <Home › Privacy Policy> / "H1: Privacy Policy" / Subtitle <how SHER collects, uses, and protects your data> // "H2: Information We Collect" / Paragraph <what data we collect> // "H2: How We Use Your Data" / Paragraph <how we use data> // "H2: Sharing with Third Parties" / Paragraph <third-party sharing> // "H2: Security" / Paragraph <how we protect data> // "H2: Cookies" / Paragraph <cookie use> // "H2: Your Rights" / Paragraph <user data rights>		Utility	Supporting		
In Progress (v3)	S-011	Terms of Service	/terms-of-service	Terms of service	Breadcrumb <Home › Terms of Service> / "H1: Terms of Service" / Subtitle <the terms that govern using the SHER site and placing an order> // "H2: Overview" / Paragraph <terms overview> // "H2: Orders & Payment" / Paragraph <orders and payment terms> // "H2: Intellectual Property" / Paragraph <IP ownership> // "H2: Liability" / Paragraph <liability limits> // "H2: Governing Law" / Paragraph <governing jurisdiction>		Utility	Supporting		
v4	F-xxx	Multi-Currency		Local currency display driven by the /en-{country}/ URL; checkout always settles in USD	Country Selector <switches /en-{country}/ and its currency>	Shows prices in the {country} currency from the /en-{country}/ URL; the selector switches the locale prefix; checkout charges in USD since the payment provider is a third-party gateway				
v4	F-xxx	Rotating Announcement Bar		Site-wide rotating announcement bar with a country-based message	Messages <rotating notices; one shows the {Country} free-shipping threshold>	Rotates through messages; localizes the free-shipping threshold by country; messages come from D-xxx Home content				
v4	F-xxx	Newsletter Signup & Popup		Email capture for the footer	"Join the List" / Subtitle <get first access to drops and offers> / (Email Input + "Btn: Subscribe")	Email submit adds the address to the mailing list; shows a success message				
v4	F-xxx	Worn by Influencers		Social proof — influencers styling SHER; to be added to S-001 (Home)	"H2: Worn by Influencers" / Subtitle <influencers styling SHER> / Image Grid <influencer photos, 3x2>					
v4	F-xxx	Attribute List		A bulleted attribute list on the Product page	Attribute List <bulleted list of the Type and Color attributes, below the description on S-006; replaces v3's inline Type Attribute beside the description>	Stores each product's color; powers the color facet pages (/{category}/[facet-color])				
v4	F-xxx	Featured Products from Shopify		Live featured products on S-001, from a manual Shopify collection	Featured Products <first 2 from a manual "Featured" collection; replaces v3's D-xxx hand-entered featured products>	Manual, hand-sorted Shopify collection; queried by handle via the Storefront API; shows the first 2				
v4		Facet Corset Tops	/corset-tops/[facet-color]	Color-filtered corset tops page targeting [color] corset top commercial queries	Breadcrumb <Shop › Corset Tops (to /corset-tops) › {Color}> / "H1: {Color} Corset Tops" / Subtitle <{color} corset tops intro> // Button Pills <links to /corset-tops/{color}> // View Toggle <grid columns> // Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("H2: More about our {Color} Corset Tops" / Paragraph <more on {color} corset tops> / Btn <to /corset-tops>)	(same View toggle and Product Grid as /shop)	Collection	Cluster	/corset-tops	{color} corset tops
v4		Facet Matching Sets	/matching-sets/[facet-color]	Color-filtered matching sets page targeting [color] matching set commercial queries	Breadcrumb <Shop › Matching Sets (to /matching-sets) › {Color}> / "H1: {Color} Matching Sets" / Subtitle <{color} matching sets intro> // Button Pills <links to /matching-sets/{color}> // View Toggle <grid columns> // Product Grid <1 col mobile, 2 col desktop> / "Btn: Load More" // Image | ("H2: More about our {Color} Matching Sets" / Paragraph <more on {color} matching sets> / Btn <to /matching-sets>)	(same View toggle and Product Grid as /shop)	Collection	Cluster	/matching-sets	{color} matching sets
