version	id	title	url	purpose	outline	functionality	type	seo_role	seo_parent	seo_keyword
In Progress (v3)	C-Transparent	Transparent Header		Non-sticky header over the Home hero	Announcement Bar ["Delivers Worldwide. Free Global Shipping over $250"] // Hamburger Icon <opens C-Menu> | White Square Logo <to /, oversized — overflows below the header> | Cart Icon <opens C-Cart>	Home only; transparent and non-sticky; scrolls away with the page				
In Progress (v3)	C-Sticky	Sticky Header		Solid sticky header on every screen	Announcement Bar ["Delivers Worldwide. Free Global Shipping over $250"] // Hamburger Icon <opens C-Menu> | Dark Symbol Logo <to /> | Cart Icon <opens C-Cart>	Sticky on every screen; on Home takes over after 60vh of scroll				
In Progress (v3)	C-Menu	Menu Drawer		Site menu from the hamburger	Dark Symbol Logo <to /> // "Shop Now" / Link <to /corset-tops> ["Corset Tops"] / Link <to /matching-sets> ["Matching Sets"] / Link <to /cocktail-dresses> ["Cocktail Dress"] / Link <to /shop> ["Shop All"] // Link <to /about> ["Our Story"] / Link <to /contact> ["Contact Us"] / Account Link <to Shopify account> ["Login/Account"]					
In Progress (v3)	C-Cart	Cart Drawer		Cart drawer from the header icon	"Your Cart" // Line Items <image, name, options, qty stepper, price, remove> // Subtotal <cart total> // Btn ["Checkout"] / "Checkout securely in USD, powered by Shopify"	Changing an item's quantity or removing it updates the cart and subtotal; checkout opens Shopify's hosted checkout; shows an empty state when the cart is empty				
In Progress (v3)	C-Footer	Footer		Site footer	(("Shop & Learn" / Link <to /corset-tops> ["Corset Tops"] / Link <to /matching-sets> ["Matching Sets"] / Link <to /cocktail-dresses> ["Cocktail Dress"] / Link <to /shop> ["Shop All"]) | ("More Information" / Link <to /about> ["Our Story"] / Link <to /contact> ["Contact"] / Link <to /shipping-returns> ["Shipping & Returns"]) | ("Connect with Us" / (Instagram Icon <to Instagram> + Facebook Icon <to Facebook> + TikTok Icon <to TikTok>))) // ("© SHER {year}" | (Link <to /privacy-policy> ["Privacy Policy"] + Link <to /terms-of-service> ["Terms of Service"]))					
In Progress (v3)	S-001	Home	/	Brand entry point	Hero Carousel <featured banners with text overlay> // "Eyebrow: Refined Sensuality" / "H1: Modern Womenswear by SHER" // (Image Link <to /corset-tops> ["H2: View Corset Tops"] | Image Link <to /matching-sets> ["H2: View Matching Sets"]) / (Image Link <to /cocktail-dresses> ["H2: View Cocktail Dresses"] | Image Link <to /shop> ["H2: View All Products"]) // "H2: Featured Products" / (Image Link <to product> [Title <product name>] | Image Link <to product> [Title <product name>]) // "H2: Made to Be Seen" / Subtitle <closing CTA into the shop-all button; subtly emphasize on owning the room> / Btn <to /shop>	Sliding hero carousel | hero banners, category images, and product images come from D-xxx Home content in repo config (slot placement + image + overlay text + link)	Home	Pillar		SHER
In Progress (v3)	S-002	Shop	/shop	Product listing hub	Breadcrumb <Home › Shop> / "H1: Shop Modern Womenswear by SHER" / Subtitle <corset tops, matching sets, and cocktail dresses — sensual, refined, all made to be seen> / Button Pills <links to /shop/corset-tops, /shop/matching-sets & /shop/cocktail-dresses> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop>	View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/	SHER shop
In Progress (v3)	S-003	Shop Corset Tops	/shop/corset-tops	Corset commerce category	Breadcrumb <Shop › Corset Tops> / "H1: Shop Corset Tops" / Subtitle <corset tops range intro; the two closures — Lace Closure is more adjustable, Zip Closure is easier to wear> / Button Pills <filter by closure type> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Corset Tops" / Paragraph <corset tops made by hand> / Btn <to /corset-tops>)	In-place attribute filter (closure type) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/corset-tops	shop corset tops
In Progress (v3)	S-004	Shop Matching Sets	/shop/matching-sets	Matching sets commerce category	Breadcrumb <Shop › Matching Sets> / "H1: Shop Matching Sets" / Subtitle <matching sets range intro; Skirt Set for a softer, feminine line — Trouser Set for a sharp, sleek one> / Button Pills <filter by set type> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Matching Sets" / Paragraph <matching sets, made to be seen> / Btn <to /matching-sets>)	In-place attribute filter (set type) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/matching-sets	shop matching sets
In Progress (v3)	S-005	Shop Cocktail Dresses	/shop/cocktail-dresses	Cocktail dresses commerce category	Breadcrumb <Shop › Cocktail Dresses> / "H1: Shop Cocktail Dresses" / Subtitle <cocktail dresses range intro; Mini for a bold short look — Midi for easy elegance — Maxi for a long evening statement> / Button Pills <filter by length> // View Toggle <grid columns> / Product Grid <2 col mobile, 3 col desktop> // Image | ("H2: About our Cocktail Dresses" / Paragraph <cocktail dresses, made to be seen> / Btn <to /cocktail-dresses>)	In-place attribute filter (length) | View toggle (1 or 2 col on mobile, 2 or 3 col on desktop)	Collection	Cluster	/cocktail-dresses	shop cocktail dresses
